date,open,high,low,close,volume
2026-03-31,251.9044607420362,256.3789715586492,248.41660289235435,252.11267807379213,40164811
2026-04-01,251.14206898302052,254.99990393693423,249.66794091320781,251.84191800311189,32276360
2026-04-02,253.57289023227807,258.0158701447992,249.50463292517367,254.54048677667365,79437769
2026-04-03,260.1869273843115,263.83849569179046,255.85166187452435,260.6101186788329,67962681
2026-04-06,261.1067553539133,262.01648165333336,254.93565948119954,259.95538771587627,67980651
2026-04-07,258.843926672583,263.4088806188851,254.27473446108428,259.30236565225704,62185232
2026-04-08,265.7539997490337,268.15162806471517,263.7994812687954,265.7040723018507,61665404
2026-04-09,269.57461309216046,270.4717018330945,266.48742526183855,269.0284343655795,74477669
2026-04-10,267.03827497105584,271.32896586212735,263.9568068390065,267.4029334146028,55691654
2026-04-13,271.11965631742925,271.91269203531436,264.84564037310986,269.84656855614406,48109613
2026-04-14,269.481111595164,273.3658814001199,264.85389756598283,268.2406400114955,46434343
2026-04-15,265.97313075296285,271.7834014783063,263.19592856723915,266.63496594395576,74079273
2026-04-16,267.8619645315137,272.8846433517193,263.2078802872198,267.8693349404807,55884040
2026-04-17,259.930956093823,263.1979306152181,256.9355234387385,260.4495676750525,70201137
2026-04-20,253.42476249585388,255.29994474789956,250.40991249070353,253.9712056864324,35462810
2026-04-21,250.91567450659264,256.8537211623644,249.37012324783544,252.0831042659622,43388409
2026-04-22,248.77769648836932,251.34404153707115,245.90267796001498,248.50542317656203,55683137
2026-04-23,249.93200665240803,254.7988102463138,245.09664415440574,249.925311095269,43846020
2026-04-24,245.66434230931978,251.57192357259487,243.22239400586295,246.77116341301476,58830884
2026-04-27,241.25498601380994,246.0928880164921,239.22429510734253,241.79019716436252,39726290
2026-04-28,248.3575161305949,249.676887088051,244.26747012877627,247.34767993369562,43659783
2026-04-29,246.11469877773808,249.41652111570752,244.99237941218826,246.75734895198894,46164204
2026-04-30,246.37604069303106,251.64702764414517,244.75194150894487,247.2540525124651,78392000
2026-05-01,242.19163789504788,244.57973038770632,237.9648241940749,242.21718512221167,53020885
2026-05-04,241.64941913157662,242.2953252366894,235.92644634318478,240.48151953987914,31286643
2026-05-05,240.50016174636468,244.341590713073,238.6232035908143,241.12212355328992,39922192
2026-05-06,237.6086014700886,241.7171397554655,232.55061689461354,237.20029544307928,71869822
2026-05-07,239.3989111772797,242.46101179883985,236.096768042644,238.774230952757,36200646
2026-05-08,236.24031326122164,240.07144360414003,235.46508327309144,236.86174956472223,36983896
2026-05-11,236.60097757143316,237.58665167938537,233.37871593185585,236.06224493559,44509187
2026-05-12,233.85809477301416,237.4987649483369,230.847802801467,234.1677039753937,57780899
2026-05-13,241.22676299013514,245.69024656537866,238.4144665092302,240.9080276232216,35409861
2026-05-14,241.4221021526957,242.81227679410995,237.93543125858466,241.10016180399478,51716219
2026-05-15,237.60101843983787,240.55030222071457,234.70961801899185,237.51604782410195,53088542
2026-05-18,239.69797083221803,245.0550444475378,239.2693304034641,240.68407812213465,79486268
2026-05-19,237.31024584052224,240.32785152780906,233.15665252759712,236.5171977738887,42831595
2026-05-20,237.06907458541818,241.1652493118109,236.16898335422377,237.4947124547752,79517749
2026-05-21,230.02767598807827,234.33627693851156,229.26967602577577,230.75103777857436,38415398
2026-05-22,225.3449698929193,228.7372559218282,222.52175391510335,226.38458417915788,40080346
2026-05-25,227.4860449927763,229.41677227366117,222.97034070798912,227.27946399868546,30448345
2026-05-26,230.43275900188436,233.96703059338728,225.77155229934638,230.02431778991863,39137682
2026-05-27,229.72968933873898,234.80502030922793,226.29180911455504,230.84562518728188,37827494
2026-05-28,230.70391309697888,234.82958923585105,226.38928285624303,230.67601731172292,65433922
2026-05-29,229.23614228188805,234.16298476821257,227.62252422496215,229.86483230958896,45814828
2026-06-01,225.3234281253541,227.84753397688536,220.73711638623982,224.99679400117083,78763532
2026-06-02,210.8082811718661,214.14550906696599,208.278982401825,211.49698636110057,68538877
2026-06-03,210.6485687795732,213.8159523340769,208.70667422673802,210.24712766957552,70494137
2026-06-04,213.54907857754924,216.94453342283174,209.59003393862395,213.791228472118,58341907
2026-06-05,216.04639493932436,218.44746253347802,213.43278674684353,215.10695834437507,70557019
2026-06-08,208.87355493795405,213.18397061443935,206.32705633672302,209.63343222383335,36742471
2026-06-09,210.52701727219753,214.73148549343486,207.01865255585224,210.8621481785515,65009340
2026-06-10,209.04387594977666,211.96824599145182,207.8511276389956,209.85502117361887,74196734
2026-06-11,208.81712659921538,210.14516143701616,205.73704254799034,207.93404398418605,66873576
2026-06-12,210.84240346140498,211.39616522694266,208.6134991878086,210.04980289338906,72248102
2026-06-15,212.9914567471055,216.4278266497814,211.59226218437365,213.50827139353422,69360898
2026-06-16,217.05101212989544,217.90467408004156,214.98200022260272,216.7043197911627,52521804
2026-06-17,214.87256121589465,216.75997683410282,210.81537917180285,214.19309317305206,43449563
2026-06-18,213.53162509787975,216.21800598973496,209.71356331903456,213.4138189377607,68858941
2026-06-19,214.7513318037465,216.68386717561242,212.811138198186,214.6876756662524,71222648
2026-06-22,217.48105067965486,221.06655976695225,216.3219287717764,218.04392607966022,68503931
2026-06-23,199.78417446911678,201.6951894938089,199.56883984692374,200.60041199328742,49164528
2026-06-24,201.03775761865705,201.35575555788736,197.47686921126532,200.24236339714548,50471192
2026-06-25,197.90888119975176,200.53743684676024,194.27716796147334,197.11957881198433,69617335
2026-06-26,194.03768588952468,195.79562586574528,192.1609637416389,193.77976220213299,50812709
2026-06-29,196.0192665187047,197.69118138645698,193.4122782365561,196.33530787403473,73368581
2026-06-30,200.22343651305164,203.0992880794298,199.31490703334723,200.5258102353169,52480953
2026-07-01,200.96280086500613,203.8281544952931,199.08134470739756,200.5097377259266,69301804
2026-07-02,204.53754608832315,205.40669530744634,200.96492362064077,203.7285192359876,34848287
2026-07-03,205.8310532013144,207.97830572046388,203.24598326871956,205.03738133350373,69213228
2026-07-06,203.82718405295094,204.53481903381194,201.49365414655927,203.25831373787605,73750190
2026-07-07,204.85396676778925,205.74482192802824,200.78858410513132,204.56342197213272,32225300
2026-07-08,208.61620146733384,212.20449393045914,208.13372982491606,209.48737574142308,41889876
2026-07-09,208.87511352788505,212.33183740017407,206.98099521223597,209.58428657341918,66892874
2026-07-10,215.56848835062067,217.8392702609238,213.08025111767867,214.71274172517366,78518372
2026-07-13,206.70983009220177,209.7714746781073,203.3515693070929,206.4900646580957,42842659
2026-07-14,208.2153079856689,213.3513292591223,207.86814950492044,209.24227524182018,59975778
2026-07-15,208.8889136998162,212.39756428775348,206.7546101218055,209.72472641623125,63978002
2026-07-16,209.3355212020158,211.05122025301884,204.8479114001738,208.99381262105402,32373139
2026-07-17,208.45361914765996,213.0366792122549,208.1456920014258,209.49046795173342,62095633
2026-07-20,202.76420666022364,205.2981086471253,199.66381115765674,203.45430728959425,72801198
2026-07-21,217.80220036298763,220.21802489629465,214.384886669721,217.69610879986587,48892008
2026-07-22,219.5003390416838,220.4331581268935,217.82042917584195,219.07993516699005,65427853
2026-07-23,224.49629885271426,225.361685112893,222.86881540898227,224.15566907474184,36081950
2026-07-24,222.02334746835012,226.96523336285614,220.09951141397352,222.63722663073693,79204736
2026-07-27,220.62698571514954,224.02139041348997,217.8432330190238,220.1598522549152,40986868
2026-07-28,218.14831405179635,222.10000941871587,215.81983086417364,218.72301075841858,70480309
2026-07-29,221.55750969177743,224.4162275901715,218.48227593707992,221.94502637775346,56582901
2026-07-30,223.81176177397222,224.95809781282364,219.89688448210035,223.26144150970822,69521538
2026-07-31,222.0423295146877,223.33938664396766,219.5129328286534,221.71057755000533,75238927
2026-08-03,224.42024099562659,225.5968985900825,221.69036262883537,223.63924041305287,41706838
2026-08-04,224.54188492847913,227.1564323881797,222.3667083875282,224.18853489442628,68673354
2026-08-05,227.8256282205446,231.24884248231297,225.81329449006935,227.67010994822664,53954761
2026-08-06,224.5839681389056,228.86085357350575,221.29873279406388,225.50023248208663,77196943
2026-08-07,224.32028101829184,226.6836718547336,221.79089723059528,224.61741436106806,46736613
2026-08-10,222.99609516202074,227.84000701468028,219.2434824454656,223.52091698283252,40873803
2026-08-11,218.2772980724521,222.3539258197513,216.2646572259081,218.83754485144675,76203547
2026-08-12,221.06917354322206,222.95816265249522,217.08508644616487,220.02841591250134,62362868
2026-08-13,220.8736663368535,224.24445215012125,219.632041822211,221.11003799846404,32667867
2026-08-14,222.21589521608837,223.84801331969334,218.08626104291866,221.34810758535028,56729123
2026-08-17,221.08011614801768,222.71497730661343,216.76247234098543,220.79057442238872,75412441
